Field,Ed-Fi Entity,Ed-Fi Attribute,Description,Ed-Fi Notes,Sample Data,Format,Required Field,Logic,Remarks
Met Any MATH TSI Criteria\r24-25,StudentAssessment,Assessment.AssessmentIdentifier,Indicates if any MATH TSI criteria were met.,A unique number or alphanumeric code assigned to an assessment administered to a student.,,Y/N,,"assessmentIdentifier: ""MATH_TSI_Criteria""",The mapping is conflicting
Met ELA and MATH Excl CP\r24-25,,,"Indicates if both ELA and MATH criteria were met, excluding college prep.",,N,Y/N,,"ELA Assessment:

assessmentIdentifier: ""ELA_TSI_Criteria""

namespace: ""http://www.tea.state.tx.us""

assessmentTitle: ""ELA TSI Criteria""

assessmentCategoryDescriptor: ""State""

academicSubjectDescriptor: ""English Language Arts""

gradeLevels: [""Grade 11"", ""Grade 12""]

assessmentReportingMethodType: ""Pass/Fail""

resultDatatypeType: ""Boolean""

Mathematics Assessment:

assessmentIdentifier: ""MATH_TSI_Criteria""

namespace: ""http://www.tea.state.tx.us""

assessmentTitle: ""Mathematics TSI Criteria""

assessmentCategoryDescriptor: ""State""

academicSubjectDescriptor: ""Mathematics""

gradeLevels: [""Grade 11"", ""Grade 12""]

assessmentReportingMethodType: ""Pass/Fail""

resultDatatypeType: ""Boolean""

2. StudentAssessment Entities
Record the student's results for each assessment.

ELA StudentAssessment:

studentUniqueId: ""123456789""

assessmentReference:

assessmentIdentifier: ""ELA_TSI_Criteria""

namespace: ""http://www.tea.state.tx.us""

administrationDate: ""2025-04-15""

scoreResults:

assessmentReportingMethodType: ""Pass/Fail""

result: ""true""

resultDatatypeType: ""Boolean""",
TSI Met ELA and MATH\r24-25,,,Indicates if both ELA and MATH TSI criteria were fully met.,,N,Y/N,,,
ACT Composite Score\r24-25,StudentAssessment,ScoreResult,Composite score earned on the ACT.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,Score or blank,,,
AP IB MET\r24-25,n/a,,Indicates if AP or IB standards were met.,,-,Y/-,,,
Dual Credit PEIMS\r24-25,n/a,,Dual credit enrollment status reported to PEIMS.,,N,Y/N,,,
IBC PEIMS 2025\r24-25,postSecondaryEvents,postSecondaryEvents.PostSecondaryEventCategory,Industry-Based Certification (IBC) earned for 2025 per PEIMS.,The post secondary event that is logged.,N,Y/N,,"studentUniqueId: ""123456789""

educationOrganizationId: ""123456""

schoolYear: 2026

termDescriptor: ""2025-2026 School Year""

postSecondaryEvents:

postSecondaryEventCategoryDescriptor: ""Industry-Based Certification Earned""

eventDate: ""2026-05-15""

postSecondaryInstitutionName: ""Certification Authority Name""",need to split the school year like in example
IBC PEIMS 2026\r24-25,postSecondaryEvents,postSecondaryEvents.PostSecondaryEventCategory,Industry-Based Certification (IBC) earned for 2026 per PEIMS.,The post secondary event that is logged.,N,Y/N,,,
Flagged IBC Only\r24-25,StudentProgramAssociation,program.programName,Indicates student flagged for IBC only.,"The formal name of the program of instruction, training, services, or benefits available through federal, state, or local agencies.",N,Y/N,,,
Level 1 or 2 Cert\r24-25,diploma,DiplomaType,Indicates if the student earned a Level 1 or 2 Certificate.,The type of diploma/credential that is awarded to a student in recognition of his/her completion of the curricular requirements.,-,Y/-,,,
Assoc Deg PEIMS\r24-25,diploma,DiplomaType,Indicates if the student earned an Associate Degree per PEIMS.,The type of diploma/credential that is awarded to a student in recognition of his/her completion of the curricular requirements.,-,Y/-,,,
OnRamps\r24-25,n/a,,Participation in OnRamps dual enrollment courses.,,0,Y/-,,,
IEP PEIMS\r24-25,n/a,,Indicates if the student has an Individualized Education Program (IEP) per PEIMS.,,-,Y/-,,"{
  ""studentSpecialEducationProgramAssociation"": {
    ""studentReference"": {
      ""studentUniqueId"": ""123456""
    },
    ""programReference"": {
      ""programTypeDescriptor"": ""SpecialEducation""
    },
    ""iepIndicator"": true
  }
}","Relevant Fields:

studentReference: Links to the student's unique identifier.

programReference: References the special education program.

programTypeDescriptor: Should be set to a descriptor indicating ""Special Education"" (e.g., ""uri://ed-fi.org/ProgramTypeDescriptor#SpecialEducation"").

beginDate: The date when the student began receiving special education services.
esc16.net

endDate: The date when the student stopped receiving services (if applicable).

iepIndicator: A boolean value indicating the presence (true) or absence (false) of an IEP."
SPED Adv Grad Plan\r24-25,GraduationPlan,GraduationPlanTypeDescriptor,Indicates student is on a Special Education advanced graduation plan.,The type of academic plan the student is following for graduation.,-,Y/-,,"Implementation Details:

When a student is on a Special Education Advanced Graduation Plan (SPED Adv Grad Plan = Y), set the graduationPlanTypeDescriptor to a value that reflects this status, such as ""SpecialEducationAdvanced"".

Ensure that this descriptor value is defined within your Ed-Fi implementation to accurately represent the plan type.",
Military\r24-25,StudentIndicator,indicator,Indicates if the student has military enlistment or plans.,"An indicator or metric computed for the student (e.g., at risk).",-,Y/-,,"{
  ""studentIndicator"": {
    ""studentReference"": {
      ""studentUniqueId"": ""123456""
    },
    ""indicatorName"": ""Military Enlistment"",
    ""indicator"": true,
    ""beginDate"": ""2025-05-16"",
    ""designatedBy"": ""Guidance Counselor"",
    ""indicatorGroup"": ""Postsecondary Plans""
  }
}",
Student ID,Student,StudentUniqueId,Unique identifier assigned to each student.,Unique identifier assigned to the student.,View Profile,,,,"Q. Can we consider Student_number / student_id as a unique identifier.
Q. Is there any relation between student_number/student_id and TX Unique Student ID"
Local ID,StudentIdentificationCode,identificationCodes,District-assigned identifier for internal tracking of the student.,"A coding scheme that is used for identification and record-keeping purposes by schools, social services or other agencies to refer to a student.
",1,9999999,,,
TX Unique Student ID,StudentIdentificationCode,identificationCodes,State-issued Texas Unique Student Identifier (TSDS UID).,"A coding scheme that is used for identification and record-keeping purposes by schools, social services or other agencies to refer to a student.
",999999998,,,,
First Name,student,firstName,Student’s first name.,legal name of the person.,First1,,,,
Last Name,student,lastName,Student’s last name.,legal name of the person.,Last1,,,,
Campus,"Education, school","school_id, school_name,category",Name or code of the campus the student is enrolled in.,"The identifier assigned to a school. It must be distinct from any other identifier assigned to educational organizations, such as a LocalEducationAgencyId, to prevent duplication.",(057905001) - BRYAN ADAMS H S LEADERSHIP ACADEMY,,,,
Grade,StudentSchoolAssociation,EntryGradeLevelDescriptor,"Current grade level of the student (e.g., 11, 12).",The grade level or primary instructional level at which a student enters and receives services in a school or an educational institution during a given academic session.,11,,,,
Race/Ethnicity,studenteducationorganizationassociation,Race,Student’s reported race and/or ethnicity.,"An indication that the individual traces his or her origin or descent to Mexico, Puerto Rico, Cuba, Central, and South America, and other Spanish cultures, regardless of race. The term, ""Spanish origin,"" can be used in addition to ""Hispanic or Latino.""",W,,,,Conflict in the feild and the mapped attribute
Gender,Student,SexDescriptor,Student’s gender.,A person's birth sex.,F,,,,
Graduation Status,n/a,,Status indicating if the student has graduated or is on track for graduation.,,0,1 or 0,,,
CCMR Met,StudentIndicator,indicator,"Indicates if the student met College, Career, or Military Readiness (CCMR) criteria.",The value of the indicator or metric.,N,Y/N,,,"Indicator would be in Boolean, how would we identify the "
Dual Credit PEIMS,dualcredit,dualcredit.dualCreditIndicator,PEIMS indicator showing if the student is enrolled in dual credit courses.,Indicates whether the student assigned to the section is to receive dual credit upon successful completion.,N,Y/N,,,"dualCreditIndicator (boolean): Indicates if the course section is a dual credit course.

dualCreditTypeDescriptor (string): Specifies the type of dual credit, such as ""High School and College Credit.""
Ritter

dualCreditInstitutionDescriptor (string): Identifies the institution offering the dual credit."
Dual Credit Reading\rMet,dualcredit,dualcredit.dualCreditIndicator,Indicates whether dual credit reading requirements were met.,Indicates whether the student assigned to the section is to receive dual credit upon successful completion.,N,Y/N,,,
Dual Credit Reading\rHours,courseTranscript,CourseTranscript.EarnedCredits,Total dual credit hours completed in reading.,Credits or units of value awarded for the completion of a course.,0,,,,"creditsEarned: Indicates the number of credits the student earned for the course.

creditTypeDescriptor: Specifies the type of credit awarded, such as ""Dual Credit.""

academicSubjectDescriptor: Denotes the subject area of the course, which should be set to ""Reading"" for relevant courses."
Dual Credit Reading\rHours Needed,logical compute might required as per metadata,,Remaining dual credit hours needed in reading.,,3,,,,"Field Name        Ed-Fi v5.2.0 Element        Example Value        Description
Dual Credit Reading Hours Completed                        
Course Code        CourseTranscript.CourseReference.CourseCode        ""ENGL101DC""        Unique code for the dual credit reading course. 
Earned Credits        CourseTranscript.EarnedCredits        3.0        Number of credits earned for the dual credit reading course. 
Credit Category Descriptor        CourseTranscript.CreditCategoryDescriptor        ""DualCreditReading""        Indicates the type of credit earned. This value should be defined within your Ed-Fi implementation's namespace. 
Dual High School Credit Indicator        CourseTranscript.DualHighSchoolCreditIndicator        true        Indicates that the course also counts towards high school graduation requirements. 
Dual Credit Reading Hours Needed                        
Graduation Plan Type        GraduationPlan.GraduationPlanTypeDescriptor        ""Recommended""        Type of graduation plan the student is following. 
Required Reading Credits        GraduationPlan.CreditsBySubjects.Credits (where AcademicSubjectDescriptor is ""Reading"")        4.0        Total number of reading credits required for the graduation plan.  Note: This represents the overall reading requirement.
Remaining Dual Credit Reading Hours Needed        (Conceptual - Calculation based on EarnedCredits and requirements)        3.0"
Dual Credit Mathematics\rMet,dualcredit,dualcredit.dualCreditIndicator,Indicates whether dual credit math requirements were met.,Indicates whether the student assigned to the section is to receive dual credit upon successful completion.,N,Y/N,,,
Dual Credit Mathematics\rHours,courseTranscript,CourseTranscript.EarnedCredits,Total dual credit hours completed in mathematics.,Credits or units of value awarded for the completion of a course.,0,,,,
Dual Credit Mathematics\rHours Needed,logical compute might required as per metadata,,Remaining dual credit hours needed in mathematics.,,3,,,,Confirmation on metadata description needed
Dual Credit Other\rMet,dualcredit,dualcredit.dualCreditIndicator,Indicates whether other dual credit requirements (non-ELA/MATH) were met.,Indicates whether the student assigned to the section is to receive dual credit upon successful completion.,N,Y/N,,,
Dual Credit Other\rHours,courseTranscript,CourseTranscript.EarnedCredits,Total dual credit hours completed in other subject areas.,Credits or units of value awarded for the completion of a course.,0,,,,
Dual Credit Other\rHours Needed,logical compute might required as per metadata,,Remaining dual credit hours needed in other subject areas.,,9,,,,Confirmation on metadata description needed
Total College Credit Hours\rTotal,StudentAcademicRecord,CumulativeEarnedCredits,Total number of college credit hours earned across all dual credit courses.,The cumulative number of credits an individual earns by completing courses or examinations during his or her enrollment in the current school as well as those credits transferred from schools in which the individual had been previously enrolled.,,,,,
StudentNumber,Student,StudentUniqueId,A unique identifier assigned to the student taking the TSIA2 test.,,2,,,,
TestDate,StudentAssessment,AdministrationDate,The date on which the TSIA2 test was administered to the student.,The date and time an assessment was completed by the student. The use of ISO-8601 formats with a timezone designator (UTC or time offset) is recommended in order to prevent ambiguity due to time zones.,,,,,
Math,StudentAssessment,ScoreResult,The student’s score in the mathematics section of the TSIA2 test.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,,,,
MathDiagnostic,StudentInterventionAssociation,DiagnosticStatement,"The diagnostic score or result from the math section, providing insight into areas of strength or weakness.",A statement provided by the assigner that provides information regarding why the student was assigned to this intervention.,4,,,,
Elar,StudentAssessment,ScoreResult,The student’s score in the English Language Arts and Reading (ELAR) section of the TSIA2 test.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",924,,,,
ElarDiagnostic,StudentInterventionAssociation,DiagnosticStatement,"The diagnostic score or result from the ELAR section, highlighting specific strengths or areas needing improvement.",A statement provided by the assigner that provides information regarding why the student was assigned to this intervention.,3,,,,
Essay,StudentAssessment,ScoreResult,"The student's score on the essay portion of the TSIA2 test, if applicable.","A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",4,,,,
StudentNumber,Student,StudentUniqueId,A unique identifier assigned to the student,A unique alphanumeric code assigned to a student.,1,,,,
MeningitisDate,StudentHealth,RequiredImmunization.ImmunizationDate,The date on which the student received the meningitis vaccination or provided documentation of vaccination.,"The year, month and day of the related required immunization.",12/12/2018,,,RequiredImmunization.ImmunizationType='Meningococcal',
SCHOOL_YEAR,Session,schoolYear,"The academic year for the course (e.g., 2024-2025).",The identifier for the school year.,2024-2025,VARCHAR2(9),,,
SCHOOL_SHORT_YEAR,Session,Need to create custom attribute,"A shortened version of the school year (e.g., 24-25 for 2024-2025).",,2024,NUMBER(38),,,
START_DATE,Session,BeginDate,The start date of the course.,"Month, day, and year of the first day of the session.",7/1/2024,DATE,,,
END_DATE,Session,EndDate,The end date of the course.,"Month, day, and year of the last day of the session.",6/30/2025,DATE,,,
COURSE_NUMBER,Course,CourseCode,A unique identifier for the course within the catalog.,,3,VARCHAR2(9),,,
COURSE_NAME,Course,CourseTitle,The full name of the course.,,Reading Kn,VARCHAR2(100),,,
COURSE_SHORT_NAME,Course,Need to create custom attribute,A shortened or abbreviated version of the course name.,,,VARCHAR2(20),,,
ALTERNATE_NAME,Course,Need to create custom attribute,Any alternate name or alias the course may be known by.,,,VARCHAR2(20),,,
DESCRIPTITON,Course,Description,A detailed description of the course content and objectives.,,,VARCHAR2(4000),,,
STATE_NUMBER,Course,CourseIdentificationCode.IdentificationCode,The course identification number as assigned by the state or educational authority.,,2630001,VARCHAR2(11),,CourseIdentificationCode='State course code',
CREDIT_HOURS,,Needs clarification,The number of credit hours awarded for the completion of the course.,,0,"NUMBER(9,2)",,,
MAXIMUM_CREDIT_HOURS,Course,MaximumAvailableCredits.Credits,"The maximum number of credit hours a student can earn for the course, if applicable.",,0,"NUMBER(9,2)",,,
PROGRAM_FOR_ALL_SECTIONS,Course,Need to create custom attribute,Indicates whether the course is part of a larger program applicable to all sections.,,0,VARCHAR2(200),,,
CREDIT_TYPE,Course,CourseLevelCharacteristic,"The type of credit awarded (e.g., standard, honors, advanced placement).","The type of specific program or designation with which the course is associated (e.g., AP, IB, Dual Credit, CTE).","12,RLA",VARCHAR2(100),,,
DEFAULT_MAX_ENROLLMENT,Section,Need to create custom attribute,The default maximum number of students allowed in the course.,,25,NUMBER(38),,,
DEPARTMENT,StaffEducationOrganizationEmploymentAssociation,Department,"The department offering the course (e.g., Mathematics, History).",,,VARCHAR2(100),,,
SUBJECT_AREA,Course,AcademicSubject,"The subject or academic field the course falls under (e.g., Science, Literature).",The intended major subject/s area of the course.,Eng/Lang Arts,VARCHAR2(100),,,
COURSE_NOTES,Course,Need to create custom attribute,Additional notes or instructions related to the course.,,Do Not Use Deactivated 07/2021,VARCHAR2(4000),,,
EXCLUDE_ATTENDANCE,Section,SectionCharacteristic,Indicates whether attendance is excluded from grading for the course.,"This descriptor defines characteristics of a Section, such as whether attendance is taken and the Section is graded.",TRUE,VARCHAR2(25),,,
EXCLUDE_GRADES,Section,SectionCharacteristic,Indicates whether grades are excluded from the course's evaluation criteria.,"This descriptor defines characteristics of a Section, such as whether attendance is taken and the Section is graded.",FALSE,VARCHAR2(25),,,What are the scenerio for this type of cases to be true where the evaluation is not done based on grades.
GRADE_SCALE_ID,,Need to create custom attribute,The identifier for the grading scale used in the course.,,1,VARCHAR2(100),,,Will we receive a standard values of grade scale and id that we will be linking this field to?
GPA_ADDED_VALUE_POINTS,,Need to create custom attribute,Additional points added to the GPA based on the course grading scale.,,0,VARCHAR2(125),,,GPA_ADDED_VALUE_POINTS refers to the extra GPA points added to a student’s grade when they take more rigorous courses
EXCLUDE_GPA,Course,CourseGPAApplicability,Indicates whether the course grades contribute to the student's GPA.,,FALSE,VARCHAR2(25),,,
EXCLUDE_CLASS_RANK,,Need to create custom attribute,Indicates whether the course grades are excluded from the calculation of class rank.,,TRUE,VARCHAR2(25),,,
EXCLUDE_HONOR_ROLL,,Need to create custom attribute,Indicates whether the course grades are excluded from honor roll calculations.,,FALSE,VARCHAR2(25),,,
DCCCD_COURSE_NUMBER,Course,CourseCode,"The course number assigned by the Dallas County Community College District, if applicable.",,BIOL-1408,VARCHAR2(100),,CourseIdentificationCode='DCCCD',
FITNESS_ASSESSMENT_FLAG,,Need to create custom attribute,Indicates whether a fitness assessment is required for the course.,,Y,VARCHAR2(100),,,
INSERT_DATE,Course,DateCourseAdopted,The date the course data was inserted into the system.,Date the course was adopted by the education agency.,4/11/2025,DATE,,,
INSERT_BY,Course,CourseDefinedBy,The identifier of the person or system that inserted the course data.,,EAD\ETL_SVC,VARCHAR2(50),,,
GRADE_LOW,,Need to create custom attribute,The minimum grade required for course completion or for achieving a specific grade level.,,0,NUMBER(38),,,
GRADE_HIGH,,Need to create custom attribute,The maximum grade that can be achieved in the course.,,0,NUMBER(38),,,
AAR_COURSE_NAME,,Needs clarification,The name of the course as listed in the Automated Academic Records system.,,R,VARCHAR2(150),,,
AAR_SUBJECT_AREA,,Needs clarification,The subject area associated with the course in the Automated Academic Records system.,,,VARCHAR2(150),,,
AAR_EXCLUDE,,Needs clarification,Indicates whether the course is excluded from the Automated Academic Records system.,,0,NUMBER(38),,,
COURSE_SEQUENCE,Section,SequenceOfCourse,The order or sequence of the course in the curriculum.,"When a section is part of a sequence of parts for a course, the number of the sequence. If the course has only one part, the value of this section attribute should be 1.",,VARCHAR2(1),,,
ACTIVITY_CATEGORY,Section,EducationalEnvironment,"The category of activities associated with the course (e.g., lectures, labs, projects).",,,VARCHAR2(100),,,
ACTIVITTY_NAME,Section,EducationalEnvironment,"The name of a specific activity within the course (e.g., laboratory, discussion, field trip).",,,VARCHAR2(400),,,
SCHEDULED,,Needs clarification,Indicates whether the course is scheduled to be offered in a particular term.,,FALSE,VARCHAR2(25),,,
GRADE_SCALE,CourseTranscript,CourseAttemptResult,"The scale or range of grades used for evaluating the course (e.g., A-F, Pass/Fail).",,Elementary Grade Scale,VARCHAR2(50),,,
SCHOOL_YEAR,StudentSchoolAssociation,schoolYear,"The academic year during which the student is enrolled (e.g., 2024-2025).",The school year associated with the student's enrollment.,2024-2025,VARCHAR2(9),,,
SCHOOL_SHORT_YEAR,StudentSchoolAssociation,,"A shortened version of the academic year (e.g., 24-25 for 2024-2025).",The school year associated with the student's enrollment.,2024,NUMBER(38),,Derived from shool year,
STUDENT_NUMBER,Student,StudentUniqueId,A unique identifier assigned to the student,A unique alphanumeric code assigned to a student.,1,NUMBER(38),,,
FIRST_NAME,Student,FirstName,The student's given name.,"A name given to an individual at birth, baptism, or during another naming ceremony, or through legal change.",First1,VARCHAR2(50),,,
LAST_NAME,Student,LastSurname,The student's family/surname.,The name borne in common by members of a family.,Last1,VARCHAR2(50),,,
MIDDLE_NAME,Student,MiddleName,The student's middle name.,"	A secondary name given to an individual at birth, baptism, or during another naming ceremony.",Middle1,VARCHAR2(50),,,
FULL_NAME,Student,,"A full name derived from first, middle, and last names.",,"Last1, First1  Middle1",VARCHAR2(150),,FULL_NAME = FIRST_NAME+MIDDLE_NAME+LAST_NAME,does not exist in EdFi
SCHOOL_NUMBER,School,SchoolId,Unique identifier for the school.,"The identifier assigned to a school. It must be distinct from any other identifier assigned to educational organizations, such as a LocalEducationAgencyId, to prevent duplication.",2,NUMBER(38),,,
SCHOOL_NAME,EducationOrganization,NameOfInstitution,The name of the school.,"The full, legally accepted name of the institution.",W H Adamson High School,VARCHAR2(100),,,
PARENT_SCHOOL_NUMBER,LocalEducationAgency,ParentLocalEducationAgency,"The unique identifier for the parent school, typically used for multi-campus districts.","The identifier assigned to a local education agency. It must be distinct from any other identifier assigned to educational organizations, such as a SchoolId, to prevent duplication.",0,NUMBER(38),,,
PARENT_SCHOOL_NAME,EducationOrganization,,The name of the parent school associated with the student's enrollment.,,,VARCHAR2(100),,,
COURSE_NAME,Course,CourseTitle,The name of the course the student is enrolled in.,"The descriptive name given to a course of study offered in a school or other institution or organization. In departmentalized classes at the elementary, secondary, and postsecondary levels (and for staff development activities), this refers to the name by which a course is identified (e.g., American History, English III). For elementary and other non-departmentalized classes, it refers to any portion of the instruction for which a grade or report is assigned (e.g., reading, composition, spelling, and language arts)",Lifetime Rec Outdoor Pursuits,VARCHAR2(100),,,
COURSE_NUMBER,Course,CourseCode,The unique identifier for the course within the catalog.,A unique alphanumeric code assigned to a course.,6571,VARCHAR2(100),,,
COURSE_START_DATE,Course,StudentSectionAssociation,The start date of the course.,"Month, day, and year of the student's entry or assignment to the section. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",1/7/2025,DATE,,,
COURSE_END_DATE,Course,StudentSectionAssociation,The end date of the course.,"Month, day, and year of the withdrawal or exit of the student from the section. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",5/24/2025,DATE,,,
SECTION_ID,Section,SectionIdentifier,UniqueSectionCode or SectionIdentifier,"A unique identifier for the section, that is defined by the classroom, the subjects taught, and the instructors that are assigned.",36151566,NUMBER(38),,,
SECTION,Section,SectionName,Name of section,"A locally-defined name for the section, generally created to make the section more recognizable in informal contexts and generally distinct from the SectionIdentifier.",126,VARCHAR2(10),,,
TEACHER_FIRST_NAME,Staff,FirstName,The first name of the teacher instructing the course.,"A name given to an individual at birth, baptism, or during another naming ceremony, or through legal change.",Teacher_First1,VARCHAR2(50),,Reference from Name,
TEACHER_LAST_NAME,Staff,LastName,The last name of the teacher instructing the course.,The name borne in common by members of a family.,Teacher_Last1,VARCHAR2(50),,,
TEACHER_FIRST_LAST_NAME,N/A,,"The full name of the teacher, typically in ""First Last"" format.",,"Teacher_Last1, Teacher_First1",VARCHAR2(150),,TEACHER_FIRST_NAME + TEACHER_LAST_NAME,
TEACHER_CLASS_ROLE_ID,StaffSectionAssociation,"ClassroomPositionDescriptorId type of position the staff member holds in the specific class/section.
","The unique identifier for the teacher’s role in the course (e.g., instructor, co-teacher).",,10,NUMBER(38),,,
TEACHER_CLASS_ROLE,StaffSectionAssociation,Descriptor,"The role the teacher holds in the course (e.g., primary teacher, assistant teacher).",The type of position the staff member holds in the specific class/section.,Lead Teacher,VARCHAR2(100),,will map to Descriptor value of descriptor table,
TEACHER_LOGIN_ID,Staff,StaffIdentificationCode,The teacher's login identifier for accessing district systems.,"A coding scheme that is used for identification and record-keeping purposes by schools, social services or other agencies to refer to a staff member.",,VARCHAR2(100),,,
EMPLOYEE_NUMBER,Staff,StaffUniqueId,The unique identifier assigned to the teacher or school employee.,A unique alphanumeric code assigned to a person by a system managing unique identifiers.,,VARCHAR2(20),,,
MTG_PATTERN_NAME,BellSchedule,BellScheduleName,"The name of the meeting pattern for the course (e.g., daily, bi-weekly).",,The title or name of the bell schedule.,VARCHAR2(80),,,
PERIOD_CODE,ClassPeriod,ClassPeriodName,"The code identifying the period during which the course is held (e.g., 1st period, 2nd period).","An indication of the portion of a typical daily session in which students receive instruction in a specified subject (e.g., morning, sixth period, block period, or AB schedules).",3,VARCHAR2(10),,,
ROOM_NUMBER,Location,ClassRoomIdentificationCode,The room number where the course takes place.,"	A unique number or alphanumeric code assigned to a room by a school, school system, state, or other agency or entity",147 Gym,VARCHAR2(10),,,
TERM_CODE,Session,SessionName        ,"The identifier for the academic term (e.g., Fall 2024, Spring 2025).",The identifier for the calendar for the academic session.,24-25,VARCHAR2(50),,,
TERM_START_DATE,Session,BeginDate,The start date of the academic term.,"Month, day, and year of the first day of the session. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",8/12/2024,DATE,,,
TERM_END_DATE,Session,EndDate,The end date of the academic term.,"Month, day and year of the last day of the session. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",5/23/2025,DATE,,,
DAY_CYCLE_CODE,N/A,,"The code identifying the school day cycle (e.g., A/B, Block scheduling).",,(A),VARCHAR2(10),,,
HOME_ROOM,N/A,,The identifier for the student’s homeroom class.,,,VARCHAR2(60),,,
CREDIT_HOURS,Course,CreditsByCourse,The number of credit hours assigned to the course.,,1,"NUMBER(5,2)",,,
TEACHER_START_DATE,StaffSectionAssociation,BeginDate,The start date for the teacher’s assignment to the course.,"Month, day, and year of a teacher's assignment to the section. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",8/12/2024,DATE,,,
TEACHER_END_DATE,StaffSectionAssociation,EndDate,The end date for the teacher’s assignment to the course.,"Month, day, and year of the last day of a staff member's assignment to the section. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",5/23/2025,DATE,,,
INSERT_DATE,N/A,,The date when the student schedule data was inserted into the system.,,4/11/2025,DATE,,,
INSERT_BY,N/A,,The identifier of the person or system responsible for inserting the student schedule data.,,EAD\ETL_SVC,VARCHAR2(50),,,